mode,rank,rank_biggest,agency,ntd_id,city,state,type_of_service,breakdown_rate,vehicle_passenger_car_miles,total_mechanical_failures,rank_2022,rank_2022_10_biggest
MB,241,,GoDurham,40087,Durham,NC,PT,6418.312807881774,2605835,406,165,NA
MB,242,,Yakima Transit,00006,Yakima,WA,DO,6341.15,760938,120,296,NA
MB,243,,San Diego Metropolitan Transit System,90026,San Diego,CA,PT,6323.4169927333705,11312593,1789,252,NA
MB,244,,Metro Transit,50027,Minneapolis,MN,DO,6320.621881574993,21028709,3327,365,NA
MB,245,,Greater Richmond Transit Company,30006,Richmond,VA,DO,6311.279627163782,4739771,751,329,NA
MB,246,,Iowa City Transit,70018,Iowa City,IA,DO,6270.217391304348,721075,115,181,NA
MB,247,,Wave Transit,40006,Wilmington,NC,PT,6237.692708333333,1197637,192,239,NA
MB,248,,Escambia County Area Transit,40038,Pensacola,FL,DO,6236.365,1247273,200,200,NA
MB,249,,Spokane Transit Authority,00002,Spokane,WA,DO,6219.686258278146,7513381,1208,316,NA
MB,250,,Kanawha Valley Regional Transportation Authority,30001,Charleston,WV,DO,6194.6,2013245,325,417,NA
MB,251,,Mid Mon Valley Transit Authority,30061,Charleroi,PA,PT,6134.378378378378,907888,148,243,NA
MB,252,,Duluth Transit Authority,50025,Duluth,MN,DO,6128.400602409639,2034629,332,356,NA
MB,253,,Transfort,80011,Fort Collins,CO,PT,6117.611111111111,110117,18,100,NA
MB,254,,ABQRIDE,60019,Albuquerque,NM,DO,6077.605462822458,4005142,659,326,NA
MB,255,,Des Moines Area Regional Transit Authority,70010,Des Moines,IA,DO,6029.469613259668,3274002,543,297,NA
MB,256,,RIPTA,10001,Providence,RI,DO,6002.064850136239,11013789,1835,312,NA
MB,257,,Private Transportation Corporation,20175,Brooklyn,NY,PT,5909.0,112271,19,279,NA
MB,258,,City of Madison,50005,Madison,WI,DO,5903.858769931663,5183588,878,345,NA
MB,259,,Santa Clarita Transit,90171,Santa Clarita,CA,PT,5902.219931271477,1717546,291,315,NA
MB,260,,Everett Transit,00005,Everett,WA,DO,5889.978354978355,1360585,231,346,NA
MB,261,,FAST Transit,90092,Fairfield,CA,PT,5869.802325581395,504803,86,324,NA
