Agency,City,State,NTD ID,Organization Type,Reporter Type,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Mode,Type of Service,Mode VOMS,Major Mechanical Failures,Major Mechanical Failures Questionable,Other Mechanical Failures,Other Mechanical Failures Questionable,Total Mechanical Failures,Total Mechanical Failures Questionable,Vehicle/Passenger Car Miles,Vehicle/Passenger Car Miles Questionable,Vehicle/Passenger Car Revenue Miles,Vehicle/Passenger Car Revenue Miles Questionable,Train Miles,Train Miles Questionable,Train Revenue Miles,Train Revenue Miles Questionable
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Public Agency or Authority of Transit Service,Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376","2,509",MB,DO,"1,421","5,946",,"11,089",,"17,035",,"64,939,148",,"57,210,088",,0,,0,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Public Agency or Authority of Transit Service,Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376","2,509",MB,PT,109,420,,146,,566,,"6,578,694",,"5,419,931",,0,,0,
Chicago Transit Authority,Chicago,IL,50066,Public Agency or Authority of Transit Service,Full Reporter,16264,"Chicago, IL--IN","8,671,746","2,180",HR,DO,906,548,,"8,906",,"9,454",,"67,819,319",,"66,984,263",,"9,476,320",,"9,365,903",
Chicago Transit Authority,Chicago,IL,50066,Public Agency or Authority of Transit Service,Full Reporter,16264,"Chicago, IL--IN","8,671,746","2,180",MB,DO,"1,274","8,284",,"12,149",,"20,433",,"47,661,166",,"44,199,272",,0,,0,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,County or Local Government Unit or Department of Transportation,Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011","2,029",MB,DO,793,"6,228",,"5,185",,"11,413",,"36,030,883",,"29,908,625",,0,,0,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,County or Local Government Unit or Department of Transportation,Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011","2,029",VP,DO,745,15,,0,,15,,"4,413,910",,"4,413,910",,0,,0,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,County or Local Government Unit or Department of Transportation,Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011","2,029",MB,PT,51,68,,25,,93,,"1,064,430",,"907,697",,0,,0,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,County or Local Government Unit or Department of Transportation,Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011","2,029",DR,PT,217,338,,331,,669,,"6,456,147",,"4,968,632",,0,,0,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,County or Local Government Unit or Department of Transportation,Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011","2,029",FB,DO,2,14,,7,,21,,"51,236",,"51,236",,0,,0,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,County or Local Government Unit or Department of Transportation,Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011","2,029",TB,DO,117,"1,449",,"1,343",,"2,792",,"2,812,243",,"2,635,705",,0,,0,
